model,phase,roc_auc_mean,roc_auc_std,f1_mean,f1_std,recall_mean,recall_std,elapsed_s
"MLP Small (64-32, ReLU)",neural_network,0.9522797168164413,0.0006292008234805738,0.8696088243210113,0.0019059854194273893,0.8624239319413096,0.002639144670816678,174.5
"MLP Medium (256-128-64, BN)",neural_network,0.9524421284014922,0.0006305532845684308,0.8697906850823083,0.002192599875878459,0.8620370980364648,0.004051498847791157,150.1
"MLP Wide (512-256, GELU)",neural_network,0.9525319223059399,0.0006514812924066768,0.8696743643976301,0.002442006637612643,0.861620630580979,0.004838377986240368,172.4
"MLP Deep (5-layer, Swish)",neural_network,0.9524952617348618,0.0006527851840014969,0.869744817614694,0.002301422902298892,0.862290050963024,0.00402642585926266,237.3
"TabNet (n_d=32, n_steps=5)",neural_network,0.9491053547835145,0.0016830276968072759,0.8650476298261458,0.002502057937902449,0.8538960549642063,0.009384925300302958,
